nodes,densidade,DLTS Clique (tempo),algoBitCliqueMaxPartite (tempo),DLTS Clique (nodes),algoBitCliqueMaxPartite (nodes),Dif
30,0.25,43.92914652824402,0.001299142837524414,103,42,0.0
30,0.25,43.247350454330444,0.0008654594421386719,107,41,0.0
30,0.25,34.913414478302,0.0011713504791259766,82,38,0.0
30,0.25,36.02531027793884,0.0007283687591552734,92,39,0.0
30,0.25,37.33553957939148,0.0013453960418701172,88,40,0.0
30,0.25,39.859617471694946,0.0011188983917236328,90,40,0.0
30,0.25,40.753726959228516,0.0009622573852539062,97,40,0.0
30,0.25,41.33974838256836,0.0010848045349121094,99,40,0.0
30,0.25,36.50795102119446,0.0012254714965820312,90,40,0.0
30,0.25,38.33631658554077,0.0012345314025878906,92,40,0.0
30,0.5,35.064974784851074,0.002003908157348633,68,59,0.0
30,0.5,26.782293558120728,0.001645803451538086,50,51,0.16666666666666666
30,0.5,20.142097234725952,0.0015420913696289062,40,53,0.0
30,0.5,21.82567024230957,0.0014355182647705078,43,55,0.16666666666666666
30,0.5,30.20505952835083,0.0019097328186035156,59,71,0.14285714285714285
30,0.5,20.326656103134155,0.0014100074768066406,38,54,0.0
30,0.5,16.991441249847412,0.001325845718383789,33,54,0.0
30,0.5,21.468156814575195,0.0014581680297851562,40,62,0.14285714285714285
30,0.5,34.69216823577881,0.0019373893737792969,68,59,0.16666666666666666
30,0.5,34.24643421173096,0.0013763904571533203,65,56,0.0
30,0.75,10.805041551589966,0.00235748291015625,17,121,0.16666666666666666
30,0.75,17.369300842285156,0.002264738082885742,33,117,0.25
30,0.75,10.479438066482544,0.001712799072265625,17,102,0.0
30,0.75,14.328355312347412,0.002326488494873047,26,83,0.1111111111111111
30,0.75,7.7083423137664795,0.0025110244750976562,12,106,0.0
30,0.75,11.79260802268982,0.0017998218536376953,23,91,0.1111111111111111
30,0.75,10.192038774490356,0.0019609928131103516,17,115,0.09090909090909091
30,0.75,18.108453512191772,0.0023789405822753906,32,96,0.1
30,0.75,8.717402696609497,0.004770994186401367,13,116,0.08333333333333333
30,0.75,11.382726192474365,0.0018470287322998047,22,98,0.1
30,0.9,27.892970323562622,0.0023756027221679688,51,156,0.06666666666666667
30,0.9,17.50807285308838,0.003007173538208008,25,178,0.0
30,0.9,18.000010013580322,0.0027310848236083984,27,176,0.0
30,0.9,13.459847927093506,0.002591371536254883,21,165,0.0
30,0.9,13.584039449691772,0.0029010772705078125,20,188,0.11764705882352941
30,0.9,12.018343925476074,0.002750396728515625,19,165,0.06666666666666667
30,0.9,10.410043954849243,0.0027730464935302734,15,151,0.06666666666666667
30,0.9,22.763173818588257,0.0029604434967041016,39,170,0.0
30,0.9,15.747640609741211,0.002657175064086914,21,211,0.05555555555555555
30,0.9,9.930634498596191,0.0026302337646484375,17,181,0.0
